city,genre,year,decade,id,title,release_date,net,budget,revenue,vote_average
San Francisco,Horror,1978,1970,tt0077745,Invasion of the Body Snatchers,1978-12-19,21446533,3500000,24946533,7.2
San Francisco,Mystery,1978,1970,tt0077745,Invasion of the Body Snatchers,1978-12-19,21446533,3500000,24946533,7.2
San Francisco,Science Fiction,1978,1970,tt0077745,Invasion of the Body Snatchers,1978-12-19,21446533,3500000,24946533,7.2
San Francisco,Thriller,1978,1970,tt0077745,Invasion of the Body Snatchers,1978-12-19,21446533,3500000,24946533,7.2
San Francisco,Action,1988,1980,tt0095897,The Presidio,1988-06-10,20324096,0,20324096,5.9
San Francisco,Thriller,1995,1990,tt0113451,Jade,1995-10-13,-40148390,50000000,9851610,5.3
San Francisco,Mystery,1995,1990,tt0113451,Jade,1995-10-13,-40148390,50000000,9851610,5.3
San Francisco,Drama,1998,1990,tt0120889,What Dreams May Come,1998-10-02,-13514957,85000000,71485043,7.1
San Francisco,Fantasy,1998,1990,tt0120889,What Dreams May Come,1998-10-02,-13514957,85000000,71485043,7.1
San Francisco,Romance,1998,1990,tt0120889,What Dreams May Come,1998-10-02,-13514957,85000000,71485043,7.1
San Francisco,Fantasy,1993,1990,tt0107091,Heart and Souls,1993-08-13,16589540,0,16589540,6.8
San Francisco,Comedy,1993,1990,tt0107091,Heart and Souls,1993-08-13,16589540,0,16589540,6.8
San Francisco,Romance,1993,1990,tt0107091,Heart and Souls,1993-08-13,16589540,0,16589540,6.8
San Francisco,Thriller,1985,1980,tt0089360,Jagged Edge,1985-10-04,-15000000,15000000,0,6.5
San Francisco,Documentary,1978,1970,tt0077533,Faces of Death,1978-11-10,0,0,0,4.0
San Francisco,Horror,1978,1970,tt0077533,Faces of Death,1978-11-10,0,0,0,4.0
San Francisco,Comedy,1997,1990,tt0119109,Fathers' Day,1997-05-09,-49401624,85000000,35598376,5.5
San Francisco,Family,1997,1990,tt0119109,Fathers' Day,1997-05-09,-49401624,85000000,35598376,5.5
San Francisco,Comedy,1977,1970,tt0076141,High Anxiety,1977-12-25,27048038,4015000,31063038,6.5
San Francisco,Drama,1960,1960,tt0054084,Midnight Lace,1960-10-13,7400000,0,7400000,6.7
San Francisco,Mystery,1960,1960,tt0054084,Midnight Lace,1960-10-13,7400000,0,7400000,6.7
San Francisco,Thriller,1960,1960,tt0054084,Midnight Lace,1960-10-13,7400000,0,7400000,6.7
San Francisco,War,2003,2000,tt0317910,The Fog of War,2003-12-09,0,0,0,8.0
San Francisco,Documentary,2003,2000,tt0317910,The Fog of War,2003-12-09,0,0,0,8.0
San Francisco,History,2003,2000,tt0317910,The Fog of War,2003-12-09,0,0,0,8.0
San Francisco,Action,2004,2000,tt0315297,Twisted,2004-02-27,-24805000,50000000,25195000,5.4
San Francisco,Adventure,2004,2000,tt0315297,Twisted,2004-02-27,-24805000,50000000,25195000,5.4
San Francisco,Crime,2004,2000,tt0315297,Twisted,2004-02-27,-24805000,50000000,25195000,5.4
San Francisco,Drama,2004,2000,tt0315297,Twisted,2004-02-27,-24805000,50000000,25195000,5.4
San Francisco,Thriller,2004,2000,tt0315297,Twisted,2004-02-27,-24805000,50000000,25195000,5.4
San Francisco,Drama,1992,1990,tt0105217,Raising Cain,1992-08-07,25170057,12000000,37170057,6.0
San Francisco,Horror,1992,1990,tt0105217,Raising Cain,1992-08-07,25170057,12000000,37170057,6.0
San Francisco,Thriller,1992,1990,tt0105217,Raising Cain,1992-08-07,25170057,12000000,37170057,6.0
San Francisco,Crime,1992,1990,tt0105217,Raising Cain,1992-08-07,25170057,12000000,37170057,6.0
San Francisco,Comedy,1968,1960,tt0064603,The Love Bug,1968-12-22,0,0,0,6.4
San Francisco,Family,1968,1960,tt0064603,The Love Bug,1968-12-22,0,0,0,6.4
San Francisco,Fantasy,1968,1960,tt0064603,The Love Bug,1968-12-22,0,0,0,6.4
San Francisco,Comedy,2000,2000,tt0206420,Woman on Top,2000-09-22,-8000000,8000000,0,5.6
San Francisco,Drama,2000,2000,tt0206420,Woman on Top,2000-09-22,-8000000,8000000,0,5.6
San Francisco,Romance,2000,2000,tt0206420,Woman on Top,2000-09-22,-8000000,8000000,0,5.6
San Francisco,Fantasy,2000,2000,tt0206420,Woman on Top,2000-09-22,-8000000,8000000,0,5.6
San Francisco,Comedy,1988,1980,tt0094715,Beaches,1988-12-21,57041866,0,57041866,6.9
San Francisco,Drama,1988,1980,tt0094715,Beaches,1988-12-21,57041866,0,57041866,6.9
San Francisco,Comedy,1978,1970,tt0077578,Foul Play,1978-07-14,-45000000,45000000,0,6.3
San Francisco,Mystery,1978,1970,tt0077578,Foul Play,1978-07-14,-45000000,45000000,0,6.3
San Francisco,Thriller,1978,1970,tt0077578,Foul Play,1978-07-14,-45000000,45000000,0,6.3
San Francisco,Drama,1991,1990,tt0101590,Class Action,1991-03-15,0,0,0,6.3
San Francisco,Crime,1991,1990,tt0101590,Class Action,1991-03-15,0,0,0,6.3
San Francisco,Comedy,2002,2000,tt0298798,Cherish,2002-01-17,0,0,0,6.5
San Francisco,Drama,2002,2000,tt0298798,Cherish,2002-01-17,0,0,0,6.5
San Francisco,Mystery,2002,2000,tt0298798,Cherish,2002-01-17,0,0,0,6.5
San Francisco,Thriller,2002,2000,tt0298798,Cherish,2002-01-17,0,0,0,6.5
San Francisco,Comedy,1999,1990,tt0123209,The Other Sister,1999-02-26,-35000000,35000000,0,6.4
San Francisco,Drama,1999,1990,tt0123209,The Other Sister,1999-02-26,-35000000,35000000,0,6.4
San Francisco,Romance,1999,1990,tt0123209,The Other Sister,1999-02-26,-35000000,35000000,0,6.4
San Francisco,Drama,1998,1990,tt0139030,Around the Fire,1998-09-26,-1200000,1200000,0,3.8
San Francisco,Romance,1998,1990,tt0139030,Around the Fire,1998-09-26,-1200000,1200000,0,3.8
San Francisco,Drama,1952,1950,tt0045205,Sudden Fear,1952-08-01,0,0,0,7.4
San Francisco,Thriller,1952,1950,tt0045205,Sudden Fear,1952-08-01,0,0,0,7.4
San Francisco,Comedy,1980,1980,tt0080319,Nine to Five,1980-12-18,0,0,0,7.0
San Francisco,Action,1974,1970,tt0071521,Freebie and the Bean,1974-12-25,0,0,0,6.7
San Francisco,Comedy,1974,1970,tt0071521,Freebie and the Bean,1974-12-25,0,0,0,6.7
